comment,date,fav,share
0,2017-02-14 00:00:00,0,0
0,2017-02-14 00:00:00,0,0
1,2017-02-14 00:00:00,43,1
0,2017-02-14 00:00:00,0,0
0,2017-02-05 00:00:00,15,1
24,2017-02-12 00:00:00,2056,116
0,2017-02-07 00:00:00,17,0
2,2017-02-13 00:00:00,51,0
4,2017-02-10 00:00:00,494,25
0,2017-02-16 00:00:00,0,0
5,2017-02-10 00:00:00,637,20
0,2017-02-11 00:00:00,9,0
8,2017-02-11 00:00:00,1247,55
0,2017-02-09 00:00:00,0,0
0,2017-02-05 00:00:00,0,0
0,2017-02-12 00:00:00,0,0
0,2017-02-11 00:00:00,11,0
0,2017-02-14 00:00:00,0,0
9,2017-02-14 00:00:00,276,0
0,2017-02-12 00:00:00,0,0
2,2017-02-06 00:00:00,17,0
0,2017-02-13 00:00:00,0,0
1,2017-02-14 00:00:00,12,0
5,2017-02-04 00:00:00,34,0
1,2017-02-11 00:00:00,18,0
2,2017-02-07 00:00:00,7,0
11,2017-02-14 00:00:00,126,0
1,2017-02-11 00:00:00,18,0
11,2017-02-14 00:00:00,126,0
2,2017-02-07 00:00:00,7,0
0,2017-02-05 00:00:00,0,0
4,2017-02-11 00:00:00,10,0
1,2017-02-14 00:00:00,1,0
8,2017-02-06 00:00:00,54,0
10,2017-02-11 00:00:00,14,0
0,2017-02-12 00:00:00,0,0
0,2017-02-10 00:00:00,0,0
11,2017-02-06 00:00:00,44,0
0,2017-02-10 00:00:00,0,0
