comment,date,fav,share
0,2017-01-21,2,1
0,2017-01-16,0,0
1,2017-01-21,26,0
0,2017-01-26,0,0
1,2017-01-23,23,0
0,2017-01-20,0,0
0,2017-01-24,3,1
5,2017-01-18,153,0
12,2017-01-23,217,0
0,2017-01-17,0,0
0,2017-01-20,0,0
0,2017-01-20,0,0
0,2017-01-15,19,1
1,2017-01-20,12,0
0,2017-01-26,0,0
0,2017-01-27,0,0
0,2017-01-21,0,0
0,2017-01-21,0,0
0,2017-01-21,0,0
0,2017-01-23,0,0
0,2017-01-23,0,0
11,2017-01-23,211,0
0,2017-01-19,0,0
0,2017-01-23,0,0
0,2017-01-25,0,0
1,2017-01-19,20,0
0,2017-01-20,0,0
0,2017-01-26,0,0
0,2017-01-14,17,1
0,2017-01-15,0,0
0,2017-01-23,0,0
0,2017-01-23,16,1
0,2017-01-26,0,0
0,2017-01-26,20,1
0,2017-01-25,0,0
0,2017-01-23,0,0
1,2017-01-19,27,1
0,2017-01-20,0,0
0,2017-01-24,61,2
0,2017-01-16,0,0
