comment,date,fav,share
1,2017-02-08 00:00:00,23,0
0,2017-02-11 00:00:00,0,0
1,2017-02-14 00:00:00,73,1
0,2017-02-07 00:00:00,0,0
0,2017-02-15 00:00:00,0,0
1,2017-02-15 00:00:00,67,0
0,2017-02-13 00:00:00,0,0
0,2017-02-15 00:00:00,0,0
0,2017-02-14 00:00:00,0,0
0,2017-02-14 00:00:00,0,0
0,2017-02-14 00:00:00,0,0
0,2017-02-04 00:00:00,0,0
0,2017-02-14 00:00:00,0,0
2,2017-02-10 00:00:00,20,0
0,2017-02-10 00:00:00,0,0
3,2017-02-05 00:00:00,5,0
2,2017-02-10 00:00:00,20,0
0,2017-02-14 00:00:00,0,0
1,2017-02-15 00:00:00,43,0
0,2017-02-10 00:00:00,0,0
3,2017-02-05 00:00:00,5,0
0,2017-02-08 00:00:00,0,0
1,2017-02-14 00:00:00,3,0
0,2017-02-17 00:00:00,0,0
4,2017-02-06 00:00:00,17,0
0,2017-02-07 00:00:00,0,0
