maker,メーカ名（明治・ロッテ・森永）
year,購買調査の年
month,購買調査の月
purchase_percent,購買した人の割合
known_percent,認知している人の割合（購買は含めない）
unknown_percent,認知していない人の割合
share,メーカのチョコレート市場シェア（シェア1位のロッテを基準とした売上高の比率）
expenditure,その月の消費者のチョコレートに対する平均支出額
market_size,その年のチョコレートの市場規模
facebook_all_user_percent,その年のフェイスブック利用者の割合
facebook_10s_user_percent,その年の10代のフェイスブック利用者の割合
facebook_20s_user_percent,その年の20代のフェイスブック利用者の割合
facebook_30s_user_percent,その年の30代のフェイスブック利用者の割合
facebook_40s_user_percent,その年の40代のフェイスブック利用者の割合
facebook_50s_user_percent,その年の50代のフェイスブック利用者の割合
facebook_60s_user_percent,その年の60代のフェイスブック利用者の割合
twitter_all_user_percent,その年のツイッター利用者の割合
twitter_10s_user_percent,その年の10代のツイッター利用者の割合
twitter_20s_user_percent,その年の20代のツイッター利用者の割合
twitter_30s_user_percent,その年の30代のツイッター利用者の割合
twitter_40s_user_percent,その年の40代のツイッター利用者の割合
twitter_50s_user_percent,その年の50代のツイッター利用者の割合
twitter_60s_user_percent,その年の60代のツイッター利用者の割合
twitter_post,購買調査日より前二週間のそのブランドに対するツイート投稿数
twitter_react,購買調査日より前二週間のそのブランドに対するツイートのリアクション数
instagram_post,購買調査日より前二週間のそのブランドに対するインスタグラム投稿数
instagram_react,購買調査日より前二週間のそのブランドに対するインスタグラムのリアクション数
facebook_post,購買調査日より前二週間のそのブランドに対するフェイスブック投稿数
facebook_react,購買調査日より前二週間のそのブランドに対するフェイスブックのリアクション数
